algorithm,num_agents,num_actions,score
ff_ippo_tabular,2,2,11.0
ff_ippo_tabular,2,3,10.988812446594238
ff_ippo_tabular,2,4,10.9942195892334
ff_ippo_tabular,2,5,10.974409675598144
ff_ippo_tabular,2,6,10.981575012207031
ff_ippo_tabular,2,7,9.891510772705079
ff_ippo_tabular,2,8,8.871249008178712
ff_ippo_tabular,2,9,9.614475440979003
ff_ippo_tabular,2,10,9.419338607788086
ff_ippo_tabular,3,2,10.992292785644532
ff_ippo_tabular,3,3,9.185680961608886
ff_ippo_tabular,3,4,9.886797523498535
ff_ippo_tabular,3,5,9.855442428588868
ff_ippo_tabular,3,6,9.150592803955078
ff_ippo_tabular,3,7,9.216303443908691
ff_ippo_tabular,3,8,9.657057762145996
ff_ippo_tabular,3,9,9.644684219360352
ff_ippo_tabular,3,10,9.94894905090332
ff_ippo_tabular,4,2,10.991587448120118
ff_ippo_tabular,4,3,9.260755157470703
ff_ippo_tabular,4,4,9.64810562133789
ff_ippo_tabular,4,5,9.74346466064453
ff_ippo_tabular,4,6,9.37522621154785
ff_ippo_tabular,4,7,9.780272102355957
ff_ippo_tabular,4,8,9.67729434967041
ff_ippo_tabular,4,9,9.547200775146484
ff_ippo_tabular,4,10,9.779948616027832
ff_ippo_tabular,5,2,10.995258140563966
ff_ippo_tabular,5,3,9.355488395690918
ff_ippo_tabular,5,4,9.483901023864746
ff_ippo_tabular,5,5,9.78277816772461
ff_ippo_tabular,5,6,9.395836639404298
ff_ippo_tabular,5,7,9.59933032989502
ff_ippo_tabular,5,8,9.42954978942871
ff_ippo_tabular,5,9,8.542134380340576
ff_ippo_tabular,5,10,5.944175052642822
ff_ippo_tabular,6,2,10.97659797668457
ff_ippo_tabular,6,3,9.29054889678955
ff_ippo_tabular,6,4,9.777362442016601
ff_ippo_tabular,6,5,9.432995986938476
ff_ippo_tabular,6,6,8.809569358825684
ff_ippo_tabular,6,7,5.597262859344482
ff_ippo_tabular,6,8,5.5942357063293455
ff_ippo_tabular,6,9,5.484775543212891
ff_ippo_tabular,6,10,5.433212375640869
ff_ippo_tabular,7,2,9.651968574523925
ff_ippo_tabular,7,3,9.372374725341796
ff_ippo_tabular,7,4,8.850263023376465
ff_ippo_tabular,7,5,7.396592903137207
ff_ippo_tabular,7,6,5.361735248565674
ff_ippo_tabular,7,7,5.377761936187744
ff_ippo_tabular,7,8,5.390241909027099
ff_ippo_tabular,7,9,5.327595329284668
ff_ippo_tabular,7,10,5.426880645751953
ff_ippo_tabular_split,2,2,11.0
ff_ippo_tabular_split,2,3,10.998073196411132
ff_ippo_tabular_split,2,4,10.998073196411132
ff_ippo_tabular_split,2,5,10.935645294189452
ff_ippo_tabular_split,2,6,10.95927734375
ff_ippo_tabular_split,2,7,9.893560791015625
ff_ippo_tabular_split,2,8,8.851379013061523
ff_ippo_tabular_split,2,9,9.493540382385254
ff_ippo_tabular_split,2,10,9.458717536926269
ff_ippo_tabular_split,3,2,11.0
ff_ippo_tabular_split,3,3,9.199876403808593
ff_ippo_tabular_split,3,4,9.870721435546875
ff_ippo_tabular_split,3,5,9.848856353759766
ff_ippo_tabular_split,3,6,9.16314868927002
ff_ippo_tabular_split,3,7,9.20653076171875
ff_ippo_tabular_split,3,8,9.656132316589355
ff_ippo_tabular_split,3,9,9.634516525268555
ff_ippo_tabular_split,3,10,9.952687072753907
ff_ippo_tabular_split,4,2,10.994952583312989
ff_ippo_tabular_split,4,3,9.202268981933594
ff_ippo_tabular_split,4,4,9.642230415344239
ff_ippo_tabular_split,4,5,9.73888111114502
ff_ippo_tabular_split,4,6,9.426294803619385
ff_ippo_tabular_split,4,7,9.794247817993163
ff_ippo_tabular_split,4,8,9.615943336486817
ff_ippo_tabular_split,4,9,9.53276767730713
ff_ippo_tabular_split,4,10,9.852101898193359
ff_ippo_tabular_split,5,2,10.992887115478515
ff_ippo_tabular_split,5,3,9.33394889831543
ff_ippo_tabular_split,5,4,9.521528053283692
