algorithm,num_agents,num_actions,score
ff_ippo_tabular,2,2,10.950217819213867
ff_ippo_tabular,2,3,10.8989990234375
ff_ippo_tabular,2,4,10.810063552856445
ff_ippo_tabular,2,5,9.22589111328125
ff_ippo_tabular,2,6,9.195810317993164
ff_ippo_tabular,2,7,9.831543159484863
ff_ippo_tabular,2,8,8.723505592346191
ff_ippo_tabular,2,9,9.345409202575684
ff_ippo_tabular,2,10,9.334627151489258
ff_ippo_tabular,3,2,10.913024520874023
ff_ippo_tabular,3,3,9.05750846862793
ff_ippo_tabular,3,4,9.792083930969238
ff_ippo_tabular,3,5,9.674433135986328
ff_ippo_tabular,3,6,9.023610687255859
ff_ippo_tabular,3,7,8.955972480773926
ff_ippo_tabular,3,8,9.533005905151366
ff_ippo_tabular,3,9,9.494008255004882
ff_ippo_tabular,3,10,9.825740623474122
ff_ippo_tabular,4,2,10.819996070861816
ff_ippo_tabular,4,3,9.10828914642334
ff_ippo_tabular,4,4,9.524800109863282
ff_ippo_tabular,4,5,9.588629341125488
ff_ippo_tabular,4,6,8.498725891113281
ff_ippo_tabular,4,7,9.288969421386719
ff_ippo_tabular,4,8,9.216429519653321
ff_ippo_tabular,4,9,9.247452354431152
ff_ippo_tabular,4,10,8.284452056884765
ff_ippo_tabular,5,2,10.72837200164795
ff_ippo_tabular,5,3,9.232854080200195
ff_ippo_tabular,5,4,9.150818824768066
ff_ippo_tabular,5,5,9.14633674621582
ff_ippo_tabular,5,6,7.814596366882324
ff_ippo_tabular,5,7,5.656410789489746
ff_ippo_tabular,5,8,5.5336088180542
ff_ippo_tabular,5,9,5.392467594146728
ff_ippo_tabular,5,10,5.3983667373657225
ff_ippo_tabular,6,2,9.558091163635254
ff_ippo_tabular,6,3,8.879139137268066
ff_ippo_tabular,6,4,8.581196784973145
ff_ippo_tabular,6,5,5.888813018798828
ff_ippo_tabular,6,6,5.394139957427979
ff_ippo_tabular,6,7,5.452071189880371
ff_ippo_tabular,6,8,5.34733362197876
ff_ippo_tabular,6,9,5.392019176483155
ff_ippo_tabular,6,10,5.461621952056885
ff_ippo_tabular,7,2,9.388413619995116
ff_ippo_tabular,7,3,8.355349731445312
ff_ippo_tabular,7,4,5.898225784301758
ff_ippo_tabular,7,5,5.429888820648193
ff_ippo_tabular,7,6,5.339679145812989
ff_ippo_tabular,7,7,5.355292510986328
ff_ippo_tabular,7,8,5.3406298637390135
ff_ippo_tabular,7,9,5.266060733795166
ff_ippo_tabular,7,10,5.38071985244751
ff_ippo_tabular_split,2,2,10.981549835205078
ff_ippo_tabular_split,2,3,10.791733741760254
ff_ippo_tabular_split,2,4,10.753358268737793
ff_ippo_tabular_split,2,5,9.240781021118163
ff_ippo_tabular_split,2,6,9.22639045715332
ff_ippo_tabular_split,2,7,9.846232604980468
ff_ippo_tabular_split,2,8,8.756316566467286
ff_ippo_tabular_split,2,9,9.317628479003906
ff_ippo_tabular_split,2,10,9.362016868591308
ff_ippo_tabular_split,3,2,10.922658729553223
ff_ippo_tabular_split,3,3,9.119220352172851
ff_ippo_tabular_split,3,4,9.648392295837402
ff_ippo_tabular_split,3,5,9.589248275756836
ff_ippo_tabular_split,3,6,9.073549461364745
ff_ippo_tabular_split,3,7,8.89950351715088
ff_ippo_tabular_split,3,8,9.527528381347656
ff_ippo_tabular_split,3,9,9.442768096923828
ff_ippo_tabular_split,3,10,9.805128288269042
ff_ippo_tabular_split,4,2,10.783024787902832
ff_ippo_tabular_split,4,3,9.108308029174804
ff_ippo_tabular_split,4,4,9.438998031616212
ff_ippo_tabular_split,4,5,9.623140144348145
ff_ippo_tabular_split,4,6,8.531264305114746
