algorithm,num_agents,num_actions,score
ff_ippo_tabular,2,2,10.82048511505127
ff_ippo_tabular,2,3,8.099796867370605
ff_ippo_tabular,2,4,7.806161975860595
ff_ippo_tabular,2,5,8.896432495117187
ff_ippo_tabular,2,6,8.85544204711914
ff_ippo_tabular,2,7,9.308871078491212
ff_ippo_tabular,2,8,8.320939445495606
ff_ippo_tabular,2,9,8.628325843811036
ff_ippo_tabular,2,10,8.704178619384766
ff_ippo_tabular,3,2,9.762228012084961
ff_ippo_tabular,3,3,7.890788745880127
ff_ippo_tabular,3,4,9.44911231994629
ff_ippo_tabular,3,5,7.179558944702149
ff_ippo_tabular,3,6,8.176511001586913
ff_ippo_tabular,3,7,7.111800956726074
ff_ippo_tabular,3,8,8.474652862548828
ff_ippo_tabular,3,9,8.320993518829345
ff_ippo_tabular,3,10,8.234324073791504
ff_ippo_tabular,4,2,9.387959289550782
ff_ippo_tabular,4,3,8.555951881408692
ff_ippo_tabular,4,4,8.699196434020996
ff_ippo_tabular,4,5,8.664204788208007
ff_ippo_tabular,4,6,6.3782151222229
ff_ippo_tabular,4,7,5.494121074676514
ff_ippo_tabular,4,8,5.4606554985046385
ff_ippo_tabular,4,9,5.703795433044434
ff_ippo_tabular,4,10,5.438539600372314
ff_ippo_tabular,5,2,7.3379237174987795
ff_ippo_tabular,5,3,8.220194721221924
ff_ippo_tabular,5,4,5.902581787109375
ff_ippo_tabular,5,5,5.3485743522644045
ff_ippo_tabular,5,6,5.018792724609375
ff_ippo_tabular,5,7,5.226738452911377
ff_ippo_tabular,5,8,5.489567375183105
ff_ippo_tabular,5,9,4.968034458160401
ff_ippo_tabular,5,10,5.245028018951416
ff_ippo_tabular,6,2,8.805933380126953
ff_ippo_tabular,6,3,6.448023700714112
ff_ippo_tabular,6,4,5.409460258483887
ff_ippo_tabular,6,5,5.020084285736084
ff_ippo_tabular,6,6,5.273829460144043
ff_ippo_tabular,6,7,5.338636112213135
ff_ippo_tabular,6,8,5.191906833648682
ff_ippo_tabular,6,9,5.336622524261474
ff_ippo_tabular,6,10,5.07898530960083
ff_ippo_tabular,7,2,7.2526780128479
ff_ippo_tabular,7,3,6.385221099853515
ff_ippo_tabular,7,4,5.277944850921631
ff_ippo_tabular,7,5,5.189419364929199
ff_ippo_tabular,7,6,5.060598754882813
ff_ippo_tabular,7,7,5.193278217315674
ff_ippo_tabular,7,8,5.033472728729248
ff_ippo_tabular,7,9,5.215162849426269
ff_ippo_tabular,7,10,4.911415004730225
ff_ippo_tabular_split,2,2,10.519298934936524
ff_ippo_tabular_split,2,3,7.68106861114502
ff_ippo_tabular_split,2,4,7.583673095703125
ff_ippo_tabular_split,2,5,8.865713691711425
ff_ippo_tabular_split,2,6,8.927724647521973
ff_ippo_tabular_split,2,7,9.1653902053833
ff_ippo_tabular_split,2,8,8.09407958984375
ff_ippo_tabular_split,2,9,8.296904373168946
ff_ippo_tabular_split,2,10,8.541008377075196
ff_ippo_tabular_split,3,2,8.248350715637207
ff_ippo_tabular_split,3,3,8.14860200881958
ff_ippo_tabular_split,3,4,9.211208724975586
ff_ippo_tabular_split,3,5,6.723049068450928
ff_ippo_tabular_split,3,6,8.056948947906495
ff_ippo_tabular_split,3,7,7.067208099365234
ff_ippo_tabular_split,3,8,8.23595495223999
ff_ippo_tabular_split,3,9,8.282845306396485
ff_ippo_tabular_split,3,10,7.903479671478271
ff_ippo_tabular_split,4,2,8.283945274353027
ff_ippo_tabular_split,4,3,8.38907356262207
ff_ippo_tabular_split,4,4,8.51668872833252
ff_ippo_tabular_split,4,5,8.451665115356445
ff_ippo_tabular_split,4,6,6.4033466339111325
ff_ippo_tabular_split,4,7,5.276152610778809
ff_ippo_tabular_split,4,8,5.556216812133789
ff_ippo_tabular_split,4,9,5.651255989074707
ff_ippo_tabular_split,4,10,5.46659107208252
ff_ippo_tabular_split,5,2,6.771008110046386
ff_ippo_tabular_split,5,3,8.34354763031006
ff_ippo_tabular_split,5,4,5.932079410552978
ff_ippo_tabular_split,5,5,5.4064741134643555
ff_ippo_tabular_split,5,6,4.782455825805664
ff_ippo_tabular_split,5,7,4.9959259033203125
ff_ippo_tabular_split,5,8,5.155653572082519
ff_ippo_tabular_split,5,9,5.249516296386719
ff_ippo_tabular_split,5,10,5.191111660003662
ff_ippo_tabular_split,6,2,8.708884811401367
ff_ippo_tabular_split,6,3,6.266140460968018
ff_ippo_tabular_split,6,4,5.501644039154053
ff_ippo_tabular_split,6,5,5.2722471237182615
ff_ippo_tabular_split,6,6,5.12574405670166
ff_ippo_tabular_split,6,7,5.2193169593811035
ff_ippo_tabular_split,6,8,5.04752550125122
ff_ippo_tabular_split,6,9,5.087864685058594
ff_ippo_tabular_split,6,10,5.055990934371948
ff_ippo_tabular_split,7,2,6.891139221191406
ff_ippo_tabular_split,7,3,6.207407093048095
ff_ippo_tabular_split,7,4,5.268963146209717
ff_ippo_tabular_split,7,5,5.002293968200684
ff_ippo_tabular_split,7,6,4.820039463043213
ff_ippo_tabular_split,7,7,4.978244113922119
ff_ippo_tabular_split,7,8,5.092790126800537
ff_ippo_tabular_split,7,9,5.158984756469726
ff_ippo_tabular_split,7,10,5.090760040283203
ff_ppo_central_tabular,2,2,10.863218116760255
ff_ppo_central_tabular,2,3,10.550504112243653
ff_ppo_central_tabular,2,4,10.238259887695312
ff_ppo_central_tabular,2,5,9.987909698486328
ff_ppo_central_tabular,2,6,9.596887397766114
ff_ppo_central_tabular,2,7,9.545829963684081
ff_ppo_central_tabular,2,8,9.31074161529541
ff_ppo_central_tabular,2,9,9.012993812561035
ff_ppo_central_tabular,2,10,9.044480895996093
ff_ppo_central_tabular,3,2,10.505579566955566
ff_ppo_central_tabular,3,3,9.552597999572754
ff_ppo_central_tabular,3,4,8.75261631011963
ff_ppo_central_tabular,3,5,8.594550895690919
ff_ppo_central_tabular,3,6,8.049857807159423
ff_ppo_central_tabular,3,7,7.975304985046387
ff_ppo_central_tabular,3,8,7.780240440368653
ff_ppo_central_tabular,3,9,7.305020904541015
ff_ppo_central_tabular,3,10,7.245993041992188
ff_ppo_central_tabular,4,2,9.716178703308106
ff_ppo_central_tabular,4,3,8.16920747756958
ff_ppo_central_tabular,4,4,7.510387706756592
ff_ppo_central_tabular,4,5,7.2605259895324705
ff_ppo_central_tabular,4,6,6.662060928344727
ff_ppo_central_tabular,4,7,5.942165470123291
ff_ppo_central_tabular,4,8,5.709126281738281
ff_ppo_central_tabular,4,9,5.283163452148438
ff_ppo_central_tabular,4,10,5.335067462921143
ff_ppo_central_tabular,5,2,8.08478946685791
ff_ppo_central_tabular,5,3,7.198786449432373
ff_ppo_central_tabular,5,4,5.993376541137695
ff_ppo_central_tabular,5,5,4.818699741363526
ff_ppo_central_tabular,5,6,4.666323566436768
ff_ppo_central_tabular,5,7,4.047710514068603
ff_ppo_central_tabular,5,8,4.421622228622437
ff_ppo_central_tabular,5,9,4.164926242828369
ff_ppo_central_tabular,5,10,3.8178348541259766
ff_ppo_central_tabular,6,2,8.062672996520996
ff_ppo_central_tabular,6,3,5.70103349685669
ff_ppo_central_tabular,6,4,4.072258615493775
ff_ppo_central_tabular,6,5,2.930986738204956
ff_ppo_central_tabular,6,6,3.2719911098480225
ff_ppo_central_tabular,6,7,2.897460150718689
ff_ppo_central_tabular,6,8,3.401866817474365
ff_ppo_central_tabular,6,9,3.0971858978271483
ff_ppo_central_tabular,6,10,3.6788193225860595
ff_ppo_central_tabular,7,2,6.929769992828369
ff_ppo_central_tabular,7,3,4.467486095428467
ff_ppo_central_tabular,7,4,2.49027156829834
ff_ppo_central_tabular,7,5,2.1501394748687743
ff_ppo_central_tabular,7,6,2.295554542541504
ff_ppo_central_tabular,7,7,2.8388863086700438
ff_ppo_central_tabular,7,8,2.829903411865234
ff_ppo_central_tabular,7,9,2.244643473625183
ff_ppo_central_tabular,7,10,2.4716508388519287
