system_name,task,env_name,run_id,episode_return,win_rate,time_series_total,wall_clock_time,critic_lr,ent_coef,max_grad_norm,gae_lambda,ppo_epochs,gamma,decay_scaling_factor,clip_eps,actor_lr,vf_coef,num_minibatches,num_envs,num_updates,num_evaluation
ff_mappo,matrax-6-4-act,generalised-matrax,CEN-48291,9.9669189453125,,1155.6543437242508,29.757,0.00028084227747691526,0.028558816988248508,0.26533002732497035,0.9858949177135056,5,0.9821083731781968,,0.08991539486433833,7.610020088930976e-05,0.2515264288832706,4,8,2440,122
ff_ippo,matrax-7-4-act,generalised-matrax,CEN-46715,9.94882583618164,,1122.365288734436,25.749,0.00013889141414781607,0.020833068531411043,0.1353263616855542,0.9839027122561037,3,0.9930921425563196,,0.11899433447140777,0.00015037438110234258,1.0843344815602354,2,8,2440,122
ff_ippo,matrax-6-4-act,generalised-matrax,CEN-48484,9.9669189453125,,1131.445544719696,26.905,0.00020119292706990906,0.014048435107343977,0.3760437774785903,0.9905118357045197,5,0.9874555845746724,,0.10829104598642512,7.747049205297477e-05,0.2893823071788138,2,8,2440,122
ff_ippo,Climbing-stateless-v0,matrax,CEN-47703,7.0,,799.78125,22.285,0.0001438574247304991,0.010007504613491824,1.2840210846031126,0.8543278123034208,3,0.9428826104701991,,0.1908758634086376,7.219151825657473e-05,0.2569252853677521,8,8,2440,122
ff_ippo,matrax-3-4-act,generalised-matrax,CEN-48037,11.0,,1267.3823693990707,27.759,0.0002825233418135002,0.001721023008188419,2.741537069271487,0.7726685625694596,5,0.9852425684301376,,0.10496972305021522,8.517995946081663e-05,0.1354445550731823,8,8,2440,122
ff_ippo,matrax-4-4-act,generalised-matrax,CEN-48026,9.97030258178711,,1134.318679690361,24.558,0.00017104332732340689,0.004843432436557982,1.139729145687924,0.7246026573417517,3,0.9012561113649219,,0.07793065334039065,8.625491729117568e-05,1.196186188939469,4,8,2440,122
ff_ippo,matrax-2-4-act,generalised-matrax,CEN-47748,11.0,,1281.841079235077,24.097,0.00019934074234616436,0.022165199968805498,0.15780712731062943,0.9918651389220499,2,0.9890221366412609,,0.030464731874402986,0.00013128628993166368,0.16995618116299496,8,8,2440,122
ff_ippo,matrax-5-4-act,generalised-matrax,CEN-48320,9.936694145202637,,1155.7389364242554,26.914,0.0006767003697818998,0.00550180833507539,0.36058790661271517,0.8576520176567685,7,0.934159065801388,,0.693133880587387,0.00011395136753926602,0.10780918813034417,2,8,2440,122
ff_mappo,matrax-3-4-act,generalised-matrax,CEN-47807,11.0,,1267.375434756279,28.957,0.0002825233418135002,0.001721023008188419,2.741537069271487,0.7726685625694596,5,0.9852425684301376,,0.10496972305021522,8.517995946081663e-05,0.1354445550731823,8,8,2440,122
ff_mappo,matrax-7-4-act,generalised-matrax,CEN-46556,9.94882583618164,,1124.6184105873108,26.198,0.00013889141414781607,0.020833068531411043,0.1353263616855542,0.9839027122561037,3,0.9930921425563196,,0.11899433447140777,0.00015037438110234258,1.0843344815602354,2,8,2440,122
