system_name,task,env_name,run_id,episode_return,win_rate,time_series_total,wall_clock_time,vf_coef,num_minibatches,ppo_epochs,max_grad_norm,gamma,gae_lambda,critic_lr,actor_lr,clip_eps,ent_coef,decay_scaling_factor,num_envs,num_updates,num_evaluation
ff_ppo_central,matrax-5-ag-5-act,generalised-matrax,CEN-23997,11.0,,1046.7961843907833,82.456,2.102556368089711,4,6,9.514587806480991,0.9621929183576804,0.8925232003487429,0.0006104203928445404,0.0009739626851759725,0.6375842713169767,0.006647816801952542,,8,2440,122
ff_mappo,matrax-5-ag-5-act,generalised-matrax,CEN-23666,9.989501953125,,1146.1743532419205,28.133,0.5512891054144636,8,4,0.5434148125347963,0.9896412033683206,0.9898303671820801,0.0001384767850575289,5.107333951264621e-05,0.13014007920645723,0.01703252423446427,,8,2440,122
ff_sable,matrax-5-ag-5-act,generalised-matrax,CEN-24334,11.0,,1274.4585678577423,112.097,0.8689749405202297,4,4,1.8773272762284456,0.9596021019615958,0.9715413802987286,,9.2821993286732e-05,0.1493376392203908,0.0028978375879139037,,8,2440,122
rec_sable,matrax-5-ag-5-act,generalised-matrax,CEN-24169,11.0,,1238.3182322978973,170.384,0.04092586268708209,8,2,0.16551455408031537,0.9918214139772327,0.9477917419874502,,6.738692065779544e-05,0.5079364727048794,0.021141663928414583,0.5180882199497024,8,2440,122
ff_ippo,matrax-5-ag-5-act,generalised-matrax,CEN-23629,9.982196807861328,,1175.5480185747147,26.97,0.385886810452591,8,3,0.78571251705875,0.9967161053850689,0.9915780871139478,0.00011057120538886687,0.00011993985463442416,0.34526834958621044,0.061981567345307416,,8,2440,122
mat,matrax-5-ag-5-act,generalised-matrax,CEN-23048,11.0,,1276.2348432540894,152.424,0.28368384599570595,2,5,0.40088282424639893,0.9844713557885306,0.933384641693166,,0.00012585043114563107,0.16670673341497877,0.0050342559414004945,,8,2440,122
ff_ippo_tabular_split,matrax-5-ag-5-act,generalised-matrax,CEN-24084,9.965339660644531,,1059.623191833496,41.173,0.012919100619858933,8,6,0.16187170364298747,0.7684591053874127,0.9587870421170962,0.0008188033974407383,0.0006460959405086745,0.1422141748834824,0.0011707021010537082,,8,2440,122
ff_ppo_central_tabular,matrax-5-ag-5-act,generalised-matrax,CEN-24581,11.0,,1147.356430530548,31.432,8.70536829582461,4,11,4.288856387299881,0.9954274689199779,0.9630224509286938,5.012365413734735e-05,0.0009728303461404744,0.4900789603085454,0.0009575602828403889,,8,2440,122
ff_ppo_central_factored,matrax-5-ag-5-act,generalised-matrax,CEN-36309,9.979799270629883,,1048.0543296337128,28.915,0.05831814410792894,8,5,8.022319870760626,0.9807344311453156,0.033103157181765167,0.0005746037019373723,0.0004685159623910482,0.45370994962395594,0.002876893709875005,,8,2440,122
