system_name,task,env_name,run_id,episode_return,win_rate,time_series_total,wall_clock_time,num_minibatches,vf_coef,max_grad_norm,decay_scaling_factor,ent_coef,actor_lr,gae_lambda,critic_lr,gamma,ppo_epochs,clip_eps,num_envs,num_updates,num_evaluation
ff_ppo_central_factored_tabular,Climbing-stateless-v0,matrax,carbs-climbing-ff_ppo_central_factored_tabular,5.0,,9748480,6.2,8,0.18607979369617303,5.775572112893504,,0.009706841795231276,0.00011112021076972583,0.7534770546856423,0.00016468383156859992,0.9014857509700724,3,0.0847173821830581,8,1190,119
ff_ppo_central_autoreg_tabular,Climbing-stateless-v0,matrax,carbs-climbing-ff_ppo_central_autoreg_tabular,11.0,,9666560,18.4,8,0.05499893748883632,2.8215254880664085,,0.011183353770572585,0.00010643760149201132,0.6310405737267282,0.00012511986833019535,0.9473787126135559,5,0.05406721950724329,8,1180,118
ff_ppo_central_autoreg_chained_tabular,Climbing-stateless-v0,matrax,carbs-climbing-ff_ppo_central_autoreg_chained_tabular,11.0,,9748480,16.2,8,0.34394618760624096,1.2592191563515756,,0.00724932682823488,0.00018066075983041944,0.323195639497718,0.0004176189812072225,0.6193037975192678,3,0.06429642407568345,8,1190,119
