system_name,task,env_name,run_id,episode_return,win_rate,time_series_total,ppo_epochs,max_grad_norm,ent_coef,critic_lr,num_minibatches,clip_eps,actor_lr,recurrent_chunk_size,num_envs,num_updates,num_evaluation
ff_ppo_central,tiny-4ag-hard,rware,CEN-27795,0.875,,56.84375,4,5.0,1e-05,0.00025,2,0.2,0.0005,,64,1220,122
ff_ppo_central,tiny-2ag-hard,rware,CEN-27785,9.3125,,597.15625,8,0.5,0.0,0.00025,8,0.1,0.00025,,64,1220,122
ff_ppo_central,tiny-4ag,rware,CEN-27665,3.9375,,166.25,4,0.5,0.01,0.00025,4,0.2,0.0005,,64,1220,122
ff_ppo_central,tiny-2ag,rware,CEN-27694,14.96875,,902.65625,4,0.5,0.01,0.00025,8,0.2,0.0005,,64,1220,122
rec_ppo_central,large-8ag-hard,rware,CEN-38629,0.0,,0.1875,2,0.5,0.01,0.0005,4,0.05,0.0005,32.0,64,1220,122
rec_ppo_central,large-8ag,rware,CEN-37736,0.0,,0.4375,8,10.0,0.01,0.0001,2,0.1,0.00025,128.0,64,1220,122
rec_ppo_central,smacv2_5_units,smax,CEN-37068,0.6435979604721069,,72.77594795823097,8,0.5,1e-05,0.00025,8,0.05,0.0005,128.0,64,1220,122
rec_ppo_central,5m_vs_6m,smax,CEN-37468,0.801041841506958,,73.85521784424782,4,10.0,1e-05,0.00025,4,0.2,0.0005,128.0,64,1220,122
rec_ppo_central,con-7x7x5a,vector-connector,CEN-36859,0.41793757677078247,,29.979194143787026,4,10.0,1e-05,0.0005,8,0.05,0.0005,16.0,64,1220,122
rec_ppo_central,simple_spread_10ag,mpe,CEN-36589,-48.908119201660156,,-5986.554344177246,8,5.0,1e-05,0.0005,2,0.2,0.0001,128.0,64,1220,122
rec_ppo_central,halfcheetah_6x1,mabrax,CEN-36095,4206.740234375,,381809.8456802368,4,5.0,1e-05,0.0005,8,0.2,0.0005,16.0,64,1220,122
rec_ppo_central,simple_spread_5ag,mpe,CEN-36317,-12.516773223876953,,-2432.851291656494,8,10.0,0.0,0.00025,2,0.1,0.0001,128.0,64,1220,122
rec_ppo_central,simple_spread_3ag,mpe,CEN-36401,-6.169986724853516,,-1036.1115279197693,2,10.0,1e-05,0.0005,4,0.2,0.00025,128.0,64,1220,122
rec_ppo_central,2s3z,smax,CEN-36485,1.8302736282348633,,131.25633308291435,4,10.0,1e-05,0.0005,8,0.05,0.0005,128.0,64,1220,122
rec_ppo_central,xlarge-4ag-hard,rware,CEN-36490,0.0,,0.21875,2,0.5,0.0,0.0005,8,0.1,0.0001,64.0,64,1220,122
rec_ppo_central,xlarge-4ag,rware,CEN-35907,0.0,,0.34375,4,10.0,0.0,0.00025,2,0.1,0.0005,128.0,64,1220,122
rec_ppo_central,con-5x5x3a,vector-connector,CEN-36445,0.8288543224334717,,93.59938648156822,8,0.5,0.01,0.0005,4,0.2,0.0005,128.0,64,1220,122
rec_ppo_central,humanoid_9|8,mabrax,CEN-35783,570.20068359375,,60376.117736816406,8,5.0,1e-05,0.0005,4,0.2,0.0001,64.0,64,1220,122
rec_ppo_central,large-4ag-hard,rware,CEN-36225,0.0,,0.375,2,0.5,0.0,0.00025,8,0.1,0.00025,64.0,64,1220,122
rec_ppo_central,large-4ag,rware,CEN-36153,0.0,,0.5625,2,5.0,0.01,0.0005,4,0.1,0.0001,16.0,64,1220,122
rec_ppo_central,medium-4ag,rware,CEN-36247,0.0,,1.1875,8,5.0,0.0,0.0001,8,0.2,0.00025,64.0,64,1220,122
rec_ppo_central,medium-4ag-hard,rware,CEN-36203,0.0,,0.53125,2,5.0,0.01,0.0005,4,0.05,0.00025,16.0,64,1220,122
