system_name,task,env_name,run_id,episode_return,win_rate,time_series_total,num_minibatches,ent_coef,actor_lr,max_grad_norm,clip_eps,ppo_epochs,recurrent_chunk_size,critic_lr,num_envs,num_updates,num_evaluation
ff_ppo_central,simple_spread_10ag,mpe,CEN-29799,-47.8953971862793,,-6343.615501403809,2,0.0,0.00025,10.0,0.2,4,,0.0005,64,1220,122
ff_ppo_central,humanoid_9|8,mabrax,CEN-30309,592.57080078125,,57855.619567871094,8,0.0,0.0001,10.0,0.05,8,,0.00025,64,1220,122
ff_ppo_central,halfcheetah_6x1,mabrax,CEN-30267,3357.634765625,,344977.8117828369,8,0.0,0.00025,0.5,0.2,8,,0.0001,64,1220,122
ff_ppo_central,con-15x15x23a,vector-connector,CEN-30530,0.8057292699813843,,92.50896979868412,8,0.01,0.0005,0.5,0.2,4,,0.00025,64,1220,122
ff_ppo_central,con-10x10x10a,vector-connector,CEN-30468,0.8622917532920837,,92.18407440651208,8,1e-05,0.0005,0.5,0.2,4,,0.0005,64,1220,122
ff_ppo_central,walker2d_2x3,mabrax,CEN-30013,809.09130859375,,63284.68811035156,8,0.01,0.00025,0.5,0.1,4,,0.0005,64,1220,122
ff_ppo_central,ant_4x2,mabrax,CEN-30272,3959.767822265625,,431430.91730070114,8,1e-05,0.00025,5.0,0.2,4,,0.0005,64,1220,122
ff_ppo_central,hopper_3x1,mabrax,CEN-30083,1977.31591796875,,200845.13662719727,8,0.0,0.00025,0.5,0.2,8,,0.0005,64,1220,122
ff_ppo_central,simple_spread_3ag,mpe,CEN-29872,-5.832605361938477,,-988.3723731040955,4,0.0,0.0005,10.0,0.2,4,,0.00025,64,1220,122
ff_ppo_central,simple_spread_5ag,mpe,CEN-29773,-19.18852424621582,,-3062.740997314453,4,0.01,0.0005,5.0,0.2,4,,0.00025,64,1220,122
ff_ppo_central,15x15-4p-5f,lbf,CEN-28636,0.3727934956550598,,29.486270055174828,4,1e-05,0.00025,5.0,0.05,2,,0.0001,64,1220,122
ff_ppo_central,15x15-4p-3f,lbf,CEN-28467,0.4995211362838745,,40.985133059322834,2,0.01,0.0001,5.0,0.2,8,,0.0001,64,1220,122
ff_ppo_central,large-8ag,rware,CEN-28722,0.0,,0.53125,2,0.0,0.0001,10.0,0.1,8,,0.0001,64,1220,122
ff_ppo_central,large-8ag-hard,rware,CEN-28730,0.0,,0.25,8,1e-05,0.0001,0.5,0.05,2,,0.0005,64,1220,122
ff_ppo_central,5m_vs_6m,smax,CEN-28482,0.6687501072883606,,61.3093793541193,2,0.0,0.00025,0.5,0.1,8,,0.00025,64,1220,122
ff_ppo_central,15x15-3p-5f,lbf,CEN-28559,0.4867413640022278,,36.08952874690294,8,0.0,0.0001,10.0,0.1,8,,0.00025,64,1220,122
ff_ppo_central,2s3z,smax,CEN-28598,1.6404688358306885,,128.6979814916849,8,1e-05,0.00025,5.0,0.2,4,,0.00025,64,1220,122
ff_ppo_central,smacv2_5_units,smax,CEN-28462,0.5916357040405273,,69.60553766787052,8,1e-05,0.00025,0.5,0.2,4,,0.0005,64,1220,122
ff_ppo_central,10x10-3p-3f,lbf,CEN-28444,0.96875,,92.98266746103764,8,1e-05,0.00025,0.5,0.05,8,,0.0005,64,1220,122
ff_ppo_central,2s-8x8-2p-2f-coop,lbf,CEN-28080,1.0,,118.859375,2,1e-05,0.00025,10.0,0.1,8,,0.0005,64,1220,122
ff_ppo_central,medium-6ag,rware,CEN-28354,0.0,,0.875,2,1e-05,0.00025,10.0,0.1,2,,0.0001,64,1220,122
ff_ppo_central,con-7x7x5a,vector-connector,CEN-28369,0.49118757247924805,,36.176320374477655,8,0.0,0.0005,0.5,0.1,8,,0.00025,64,1220,122
ff_ppo_central,2s-10x10-3p-3f,lbf,CEN-28100,0.9533730149269104,,101.62149821221828,4,0.01,0.0005,5.0,0.2,8,,0.00025,64,1220,122
ff_ppo_central,small-4ag,rware,CEN-28217,0.09375,,1.71875,2,1e-05,0.0001,10.0,0.1,2,,0.0001,64,1220,122
